batch,state,priority_order,district_name,city,county,staff_directory_url,page_title,visibility_status,names_visible,emails_visible,observed_email_domains,email_pattern_or_note,source_method,checked_candidates
CA-02,CA,51,Armona Union Elementary School District,Armona,Kings County,https://www.cde.ca.gov/schooldirectory/details?cdscode=16638750000000,Armona Union Elementary - School Directory Details,visible_admin_contacts_only,yes,yes,auesd.org,CDE publishes administrator names and emails; no broader official staff directory found,Web search result verified by snippet/page metadata,https://www.auesd.com/en-US/departments; https://www.cde.ca.gov/schooldirectory/details?cdscode=16638750000000
CA-02,CA,52,Aromas - San Juan Unified School District,San Juan Bautista,San Benito County,https://www.asjusd.org/staff/,Staff | Aromas-San Juan USD,visible_names_and_emails,yes,yes,asjusd.org,published emails present; observed pattern commonly first initial + last name @asjusd.org,Web search result fetched/snippet reviewed,https://www.asjusd.org/staff/; https://www.asjusd.org/staff-directory
CA-02,CA,53,Arts In Action Community Charter District,Los Angeles,Los Angeles County,https://www.artsinactioncharter.org/apps/staff/,Staff Directory | Arts In Action Community Charter Schools,visible_names_no_emails,yes,no,,Edlio staff page shows names/roles; no visible email addresses in crawled text,Web search result fetched/snippet reviewed,https://www.artsinactioncharter.org/apps/staff/
CA-02,CA,54,Arvin Union School District,Arvin,Kern County,https://www.arvinschools.com/departments,Departments | Arvin Union School District,partial_department_contacts,yes,yes,arvin-do.com,department pages publish selected staff contacts; no consolidated staff directory confirmed,Web search result fetched/snippet reviewed,https://www.arvinschools.com/departments
CA-02,CA,55,Aspire Triumph Technology Academy District,Oakland,Alameda County,https://aspirepublicschools.org/locations/bay-area/aspire-triumph-technology-academy/,Aspire Triumph Technology Academy,partial_school_contacts,yes,yes,aspirepublicschools.org,school landing page publishes selected named contacts; no full staff directory confirmed,Web search result fetched/snippet reviewed,https://aspirepublicschools.org/locations/bay-area/aspire-triumph-technology-academy/
CA-02,CA,56,Atascadero Unified School District,Atascadero,San Luis Obispo County,https://www.slocoe.org/wp-content/uploads/2015/11/AllDistrictDirectory.pdf,San Luis Obispo County All District Directory,visible_names_and_pattern,yes,yes,atasusd.org,PDF states email format firstlast@atasusd.org and lists staff names/positions,Web search result fetched/snippet reviewed,https://www.slocoe.org/wp-content/uploads/2015/11/AllDistrictDirectory.pdf; https://sites.google.com/a/atasusd.org/sis/home/staff-directory
CA-02,CA,57,Atkinson Academy Charter District,Carmichael,Sacramento County,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=34674470133975,Atkinson Academy Charter - School Directory Details,closed_school_admin_contacts,yes,yes,atkinsonacademy.org,CDE indicates charter closed June 30 2019 and publishes historical administrator contacts,Web search result fetched/snippet reviewed,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=34674470133975
CA-02,CA,58,Atwater Elementary School District,Atwater,Merced County,https://www.aesd.edu/apps/staff/,Staff Directory | Atwater Elementary SD,visible_names_no_emails,yes,no,,Edlio staff page shows names/roles; department pages show some protected email text,Web search result fetched/snippet reviewed,https://www.aesd.edu/apps/staff/; https://www.aesd.edu/apps/pages/index.jsp?pREC_ID=1514594&type=d&uREC_ID=785296
CA-02,CA,59,Auburn Union Elementary School District,Auburn,Placer County,https://www.auburn.k12.ca.us/Staff-Directory/,Auburn Union School District - Staff Directory,visible_names_no_emails,yes,no,auburn.k12.ca.us,staff directory page found; CDE separately publishes administrator emails,Web search result fetched/snippet reviewed,https://www.auburn.k12.ca.us/Staff-Directory/; https://www.cde.ca.gov/SchoolDirectory/details?cdscode=31667870000000
CA-02,CA,60,Audeo Charter School III District,Escondido,San Diego County,https://audeo3.com/contact-us/,Contact Us | Audeo Charter School III,partial_contacts_only,yes,yes,audeo3.com,no full staff directory confirmed; contact/petition materials identify limited staff contacts,Web search result/snippet reviewed,https://audeo3.com/contact-us/; https://audeo3.com/wp-content/uploads/2018/06/Audeo-Charter-School-3-Petition-combined-with-appendices_FINAL_12012017.pdf
